id,name,country,age,premier,bundes,seriea,spain
24234,david edgar,Canada,29,1,0,0,0
24235,leonardo bonucci,Italy,29,0,0,1,0
24368,jamie ashdown,United Kingdom,35,1,0,0,0
24372,matthew taylor,United Kingdom,34,1,0,0,0
24373,richard hughes,United Kingdom,37,1,0,0,0
24381,marc pugh,United Kingdom,29,1,0,0,0
24383,diego castro,Spain,34,0,0,0,1
24385,abel aguilar,Colombia,31,0,0,0,1
24391,michele fini,Italy,42,0,0,1,0
24399,ben alnwick,United Kingdom,29,1,0,0,0
24403,michele canini,Italy,31,0,0,1,0
24405,daniele conti,Italy,37,0,0,1,0
24409,antonio langella,Italy,39,0,0,1,0
24411,dean whitehead,United Kingdom,34,1,0,0,0
24412,diego luis breijo lopez,Uruguay,42,0,0,1,0
24414,francesco pisano,Italy,30,0,0,1,0
24415,david suazo,El Salvador,36,0,0,1,0
24435,liam lawrence,United Kingdom,34,1,0,0,0
24440,marco malago,Italy,37,0,0,1,0
24443,andrea mantovani,Italy,32,0,0,1,0
24446,nyron nosworthy,United Kingdom,35,1,0,0,0
24448,sergio pellissier,Italy,37,0,0,1,0
24450,victor obinna,Nigeria,29,1,0,1,1
24452,steven caldwell,United Kingdom,36,1,0,0,0
24453,franco semioli,Italy,36,0,0,1,0
24454,lorenzo squizzi,Italy,42,0,0,1,0
24455,stuart holden,United Kingdom,31,1,0,0,0
24456,simone tiribocchi,Italy,38,0,0,1,0
24457,andrea zanchetta,Italy,41,0,0,1,0
24459,sergio bernardo almiron,Argentina,35,0,0,1,0
24464,antonio busce,Italy,40,0,0,1,0
24469,alex baptiste,United Kingdom,30,1,0,0,0
24484,stefano lucchini,Italy,35,0,0,1,0
24491,nicola pozzi,Italy,30,0,0,1,0
24492,francesco pratali,Italy,37,0,0,1,0
24493,andrea raggi,Italy,32,0,0,1,0
24494,cesar sanchez,Spain,45,0,0,0,1
24499,valeri bojinov,Bulgaria,30,1,0,1,0
24500,davide brivio,Italy,28,0,0,1,0
24501,guilherme do prado,Brazil,34,1,0,0,0
24502,marco donadel,Italy,33,0,0,1,0
24503,sebastian frey,France,36,0,0,1,0
24504,alessandro gamberini,Italy,35,0,0,1,0
24507,riccardo montolivo,Italy,31,0,0,1,0
24509,anthony gardner,United Kingdom,36,1,0,0,0
24527,marton fulop,Hungary,33,1,0,0,0
24528,michael brown,United Kingdom,39,1,0,0,0
24531,michael dawson,United Kingdom,32,1,0,0,0
24536,manuel pasqual,Italy,34,0,0,1,0
24546,michele pazienza,Italy,34,0,0,1,0
24549,giampaolo pazzini,Italy,32,0,0,1,0
24583,bradley johnson,United Kingdom,29,1,0,0,0
24591,ricardo,Spain,44,0,0,0,1
24612,fernando,Spain,37,0,0,0,1
24622,federico balzaretti,Italy,34,0,0,1,0
24624,marcelo zalayeta,Uruguay,37,0,0,1,0
24630,noe pamarot,France,37,1,0,0,1
24632,paul stalteri,Canada,38,0,1,0,0
24634,radek cerny,Czech Republic,42,1,0,0,0
24653,sean davis,United Kingdom,37,1,0,0,0
24658,curtis davies,United Kingdom,31,1,0,0,0
24663,jason koumas,United Kingdom,37,1,0,0,0
24664,jonathan greening,United Kingdom,37,1,0,0,0
24676,david edwards,United Kingdom,30,1,0,0,0
24693,simeon jackson,Jamaica,29,1,1,0,0
24694,matthew gilks,United Kingdom,34,1,0,0,0
24698,grant holt,United Kingdom,35,1,0,0,0
24728,paul robinson,United Kingdom,37,1,0,0,0
24737,zoltan gera,Hungary,37,1,0,0,0
24740,anton ferdinand,United Kingdom,31,1,0,0,0
24744,daniel gabbidon,United Kingdom,37,1,0,0,0
24751,james collins,United Kingdom,33,1,0,0,0
24753,jeremie aliadiere,France,33,1,0,0,0
24772,marlon harewood,United Kingdom,37,1,0,0,0
24773,matthew etherington,United Kingdom,35,1,0,0,0
24781,paul konchesky,United Kingdom,35,1,0,0,0
24788,brian jensen,Denmark,41,1,0,0,0
24789,lazaros christodoulopoulos,Greece,29,0,0,1,0
24791,cristian molinaro,Italy,33,0,1,1,0
24792,daniele portanova,Italy,37,0,0,1,0
24793,daniele gastaldello,Italy,33,0,0,1,0
24841,henri camara,Senegal,39,1,0,0,0
24846,leighton baines,United Kingdom,31,1,0,0,0
24848,massimo marazzina,Italy,42,0,0,1,0
24852,luis garcia,Spain,35,0,0,0,1
24854,simone vergassola,Italy,40,0,0,1,0
24886,michael pollitt,United Kingdom,44,1,0,0,0
24890,ryan taylor,United Kingdom,32,1,0,0,0
24903,russell martin,United Kingdom,30,1,0,0,0
24915,ikechi anya,United Kingdom,28,1,0,0,0
24948,ashley williams,United Kingdom,32,1,0,0,0
24952,adam le fondre,United Kingdom,29,1,0,0,0
24970,cristian zapata,Colombia,29,0,0,1,1
24978,barry ferguson,United Kingdom,38,1,0,0,0
25005,paul scharner,Austria,36,1,1,0,0
25070,david fox,United Kingdom,32,1,0,0,0
25075,craig gardner,United Kingdom,29,1,0,0,0
25150,lee cattermole,United Kingdom,28,1,0,0,0
25156,ali al-habsi,Oman,34,1,0,0,0
25253,dickson etuhu,Nigeria,34,1,0,0,0
25337,cristiano lucarelli,Italy,40,0,0,1,0
25338,marco rossi,Italy,28,0,0,1,0
25347,oscar gonzalez,Spain,33,0,0,0,1
25365,andreas ottl,Germany,31,0,1,0,0
25366,claudio pizarro,Peru,37,0,1,0,0
25411,steven thompson,United Kingdom,37,1,0,0,0
25415,david jones,United Kingdom,31,1,0,0,0
25462,victor casadesus,Spain,31,0,0,0,1
25479,francesco scardina,Italy,34,0,0,1,0
25483,christian schulz,Germany,33,0,1,0,0
25496,dimitri payet,France,29,1,0,0,0
25518,habib beye,France,38,1,0,0,0
25521,pape diakhate,Senegal,32,0,0,0,1
25524,frank rost,Germany,43,0,1,0,0
25526,andrea ranocchia,Italy,28,0,0,1,0
25537,marouane chamakh,France,32,1,0,0,0
25541,taye taiwo,Nigeria,31,1,0,1,0
25543,john utaka,United Kingdom,34,1,0,0,0
25549,christian obodo,Nigeria,32,0,0,1,0
25550,peter odemwingie,Uzbekistan,35,1,0,0,0
25551,bartholomew ogbeche,Nigeria,31,0,0,0,1
25563,carlos kameni,Cameroon,32,0,0,0,1
25571,achille emana,Cameroon,34,0,0,0,1
25572,jean makoun,Cameroon,33,1,0,0,0
25574,pierre webo,Cameroon,34,0,0,0,1
25581,manuel belleri,Italy,39,0,0,1,0
25584,cribari,Brazil,36,0,0,1,0
25587,lorenzo de silvestri,Italy,28,0,0,1,0
25588,fabio firmani,Italy,38,0,0,1,0
25594,stefano mauri,Italy,36,0,0,1,0
25597,goran pandev,Macedonia,33,0,0,1,0
25598,tommaso rocchi,Italy,39,0,0,1,0
25628,marco caligiuri,Germany,32,0,1,0,0
25644,martin latka,Czech Republic,32,0,1,0,0
25666,victor anichebe,Nigeria,28,1,0,0,0
25667,martin olsson,Sweden,28,1,0,0,0
25668,rory delap,United Kingdom,40,1,0,0,0
25730,jonathan jager,France,38,0,1,0,0
25735,juan pablo carrizo,Argentina,32,0,0,1,1
25753,ezequiel luna,Argentina,29,0,0,0,1
25759,gonzalo higuain,France,28,0,0,1,1
25772,zdravko kuzmanovic,Switzerland,29,0,1,1,0
25773,ivan rakitic,Switzerland,28,0,1,0,1
25815,steve von bergen,Switzerland,33,0,1,1,0
25816,almen abdi,Kosovo,29,1,0,1,0
25818,gokhan inler,Switzerland,32,1,0,1,0
25819,raffael,Brazil,31,0,1,0,0
25830,jonathan parr,Norway,27,1,0,0,0
25913,helder rosario,Portugal,36,0,0,0,1
25921,pepe,Italy,33,0,0,0,1
25922,marek cech,Slovakia,33,1,0,1,0
25923,raul meireles,Portugal,33,1,0,0,0
25924,paulo assuncao,Brazil,36,0,0,0,1
25925,jose bosingwa,Congo [DRC],34,1,0,0,0
25948,steve gohouri,Ivory Coast,35,1,1,0,0
