"season","home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11"
"2008/2009",74736,72541,33865,37718,38521,33870,26044,38424,30744,30907,23853,24494,34007,30752,34029,34008,30666,32761,NA,37459,41468,30909
"2008/2009",30855,12454,37667,30750,37426,37666,42173,38578,25571,34233,38751,32657,33988,37482,96616,30738,39854,154257,26146,26169,33639,30955
"2008/2009",33764,33025,33993,37604,154938,33866,37410,30287,37408,NA,96620,33958,37434,42310,37440,37423,38036,75474,NA,37448,38035,102572
"2008/2009",NA,74743,75608,75395,74752,78404,33611,97334,38004,24383,41294,30657,30962,34520,25921,30670,25759,23988,18814,28467,36784,30655
"2008/2009",24494,30994,34029,30752,34008,30666,32761,37824,37459,32762,30909,33827,33843,41707,5233,38479,38151,102612,11758,43310,37450,32763
"2008/2009",96613,74403,6864,74663,18501,75239,37419,4902,45605,43329,75310,30990,37597,33022,75392,37672,33586,38431,75192,38471,33729,39142
"2008/2009",30664,37413,30903,30689,34103,33632,25924,33871,30663,38460,37412,75390,37470,32675,37427,37468,41156,37471,27420,37461,37469,38044
"2008/2009",25563,28439,37879,38385,33767,16230,18592,33773,24852,37429,75194,33986,70255,33812,38138,33848,95509,31014,33991,30443,38139,33989
"2008/2009",37579,33634,37581,33828,80497,33892,37512,32999,35638,38567,74213,41466,33733,56678,NA,30279,37436,38746,38362,37480,37478,38699
"2008/2009",75195,75199,75206,33898,74435,75216,38008,150498,38550,102002,38136,37439,38922,33849,30276,33893,37491,31498,37631,38398,37411,33028
"2008/2009",33018,111190,37451,34104,41167,37449,33758,37441,38573,33761,164210,74736,72541,NA,33865,38521,42369,33870,38424,33832,30907,96615
"2008/2009",32657,33988,30740,37482,30738,39854,36615,26146,30981,33639,30626,25563,28439,33768,38385,33767,24099,47193,24852,32766,37429,75194
"2008/2009",75390,37470,32675,37427,37468,27420,41156,37461,37471,37506,38044,33764,33025,33993,159881,96617,96619,30287,37410,30277,33030,96620
"2008/2009",33018,111190,37451,150328,41167,37793,33758,38573,37441,37449,164210,24494,30994,30752,37479,34575,32761,38701,37824,41468,37459,30909
"2008/2009",74736,72541,NA,33865,38521,42369,33870,38424,30744,30907,23853,75195,75199,75206,33898,74435,38008,150498,75216,NA,38550,38136
"2008/2009",37439,38922,33849,30276,33861,37491,38160,37631,38398,37411,33028,37579,33634,37581,33828,80497,35638,32999,37512,33892,38567,150644
"2008/2009",41466,30279,56678,NA,40599,37436,37480,30958,37478,38551,38699,NA,NA,74744,74739,33895,74752,78404,33611,162497,74751,34582
"2008/2009",30657,30962,25921,34520,30670,25759,23988,18814,28467,30655,36784,30855,31303,37667,33655,37426,37666,42173,37422,34233,25571,38751
"2008/2009",33958,37434,57057,42310,38035,38036,75474,NA,37448,114339,18628,96613,74404,6864,74663,18501,37419,4902,75239,38581,45605,75310
"2008/2009",30990,37597,43374,75392,2790,33586,38431,75192,38471,33729,39142,33827,33843,41707,5233,38479,38151,102612,11758,43310,37450,32763
"2008/2009",33986,70255,33812,38138,33992,95509,30443,33991,101422,31014,33989,30664,33636,30903,30689,34103,25924,30663,33871,38492,32656,38460
"2008/2009",33827,33843,41707,5233,38479,38151,102612,11758,43310,37450,32763,33958,37434,57057,42310,99333,38036,75474,74747,37448,38035,102572
"2008/2009",96613,74403,18501,6864,37622,75239,37419,4902,45605,43329,75310,75390,37470,32675,37427,37468,52490,27420,37471,37461,37506,38044
"2008/2009",NA,33027,159881,37604,154938,96619,33869,33024,37408,96620,150832,33986,70255,33812,30866,33848,33759,95509,101422,31014,38139,33989
"2008/2009",30664,30839,30903,30689,32656,33632,25924,33871,30663,38460,37412,32657,33988,30740,30661,NA,39854,36615,33074,30981,33639,30626
"2008/2009",25563,28439,33768,38385,33767,24099,24852,18592,32766,37429,75194,30657,30962,25921,34520,30670,25759,23988,30878,30834,36784,30655
"2008/2009",30855,31303,30750,37667,37426,38889,33655,42173,34233,38578,38751,41466,30279,NA,56678,40599,37436,37478,38746,37480,47373,38699
"2008/2009",NA,74739,75608,74751,162497,74744,74770,33611,78404,24383,34582,37439,38922,30276,33856,33893,37491,31498,38160,38398,37411,33028
"2008/2009",37579,33896,33885,80497,41196,33634,37512,32999,33892,74213,150644,74736,72541,NA,33865,38521,42369,33870,38424,30744,30907,23853
"2008/2009",75195,NA,102614,38561,33898,74721,75216,38008,38550,38526,38136,33018,111190,34104,150328,41167,37793,33758,37449,37441,38573,164210
"2008/2009",24494,30994,34029,30752,34008,30666,32761,37824,37459,41468,34231,30990,37597,33022,75392,2790,38431,33586,75192,38471,33729,39142
"2008/2009",75195,NA,75206,38561,74435,37433,150498,38008,38550,102002,38136,24494,30994,34029,37479,34008,166111,30752,38701,37824,41468,32762
"2008/2009",74736,38534,NA,33865,38521,33870,42369,38424,30744,30907,23853,NA,74743,75395,33895,162497,33887,78404,97334,38004,24383,41294
